price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
239.800 kr.;2019;27000;2019-04-26;Benzin;21.6;116;M;3390
194.900 kr.;2017;195000;2017-02-22;Diesel;22.2;150;A;8600
134.900 kr.;2014;183000;2014-01-01;Diesel;26.3;105;M;8600
434.800 kr.;2020;38000;2020-05-06;Benzin;16.4;190;A;3660
299.900 kr.;2019;32500;2019-09-18;Benzin;18;190;A;2770
224.900 kr.;2017;139000;2017-05-10;Diesel;22.2;150;A;8600
44.900 kr.;2007;213000;2007-05-02;Benzin;13.8;102;M;2860
274.900 kr.;2017;45000;2017-04-27;Benzin;18.2;116;M;9400
284.700 kr.;2020;23000;2020-06-15;Plug-in hybrid Benzin;38.8;204;A;8250
195.000 kr.;2013;116000;2012-11-02;Benzin;16.7;125;M;2610
79.900 kr.;2011;179000;2010-06-08;Diesel;23.8;105;M;5750
99.900 kr.;2011;231000;2011-02-23;Diesel;22.7;140;M;8382
224.800 kr.;2017;72000;2017-09-20;Plug-in hybrid Benzin;32.1;204;A;7100
269.700 kr.;2017;75000;2017-09-04;Plug-in hybrid Benzin;35.1;204;A;3460
299.700 kr.;2019;59000;2019-02-20;Diesel;24.4;150;A;6100
269.700 kr.;2018;53000;2018-01-30;Plug-in hybrid Benzin;33.8;204;A;6000
240.000 kr.;2016;56000;2016-10-10;Plug-in hybrid Benzin;32.7;204;A;7400
374.700 kr.;2019;49000;2019-08-06;Benzin;21.1;150;A;8600
144.900 kr.;2014;184000;2014-11-26;Diesel;23.8;150;M;8600
294.900 kr.;2020;92000;2019-09-30;Diesel;28.2;150;A;5210
199.900 kr.;2010;101000;2010-10-11;Benzin;15.2;160;A;8653
139.990 kr.;2014;123000;2013-04-29;Diesel;26.3;105;M;2880
189.900 kr.;2015;149000;2014-09-26;Benzin;18.9;125;M;4700
289.900 kr.;2018;50000;2017-11-17;Plug-in hybrid Benzin;35.1;204;A;8600
164.900 kr.;2015;215000;2014-07-24;Diesel;22.7;150;A;7000
229.900 kr.;2016;48000;2015-11-17;Benzin;20.8;150;A;3550
319.900 kr.;2020;25000;2020-09-09;Plug-in hybrid Benzin;33.8;204;A;8700
334.900 kr.;2020;25000;2020-07-17;Plug-in hybrid Benzin;38.8;204;A;8700
190.000 kr.;2016;89000;2016-05-30;Benzin;20;125;M;2610
309.500 kr.;2020;43000;2020-08-18;Plug-in hybrid Benzin;38.8;204;A;8700
309.700 kr.;2020;45000;2020-07-07;Plug-in hybrid Benzin;33.8;204;A;8250
234.990 kr.;2019;189000;2019-03-08;Diesel;24.4;150;A;6520
284.900 kr.;2018;64000;2017-08-17;Plug-in hybrid Benzin;33.8;204;A;3400
280.000 kr.;2015;49000;2014-07-24;Benzin;17.2;180;A;4621
324.800 kr.;2019;11000;2019-04-23;Benzin;21.6;150;A;3400
264.900 kr.;2016;38000;2015-11-30;Benzin;17.9;125;M;2800
