price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
199.900 kr.;2022;12000;2022-06-14;Benzin;24.2;125;M;2630
100.000 kr.;2015;120000;2016-06-24;Benzin;22.2;140;M;2610
179.900 kr.;2021;31000;2020-12-03;Benzin;27.5;155;M;2630
134.900 kr.;2019;62000;2019-01-30;Diesel;28.9;85;M;9300
129.900 kr.;2017;81000;2017-08-30;Benzin;23.3;100;M;6200
124.900 kr.;2017;64000;2017-05-08;Benzin;23.3;125;M;9800
79.900 kr.;2015;120000;2014-12-22;Benzin;23.3;100;M;6200
239.900 kr.;2018;72000;2019-01-30;Benzin;18.3;200;M;5750
69.990 kr.;2014;135000;2013-10-24;Benzin;23.3;100;M;2880
164.900 kr.;2019;31000;2019-05-28;Benzin;26.2;125;M;7500
159.900 kr.;2021;48500;2020-12-16;Benzin;24.2;125;M;6200
139.900 kr.;2018;33000;2018-03-28;Benzin;19.6;85;M;6100
76.780 kr.;2014;136000;2014-03-11;Benzin;23.3;100;M;3480
74.900 kr.;2014;168000;2013-10-22;Benzin;23.3;125;M;9500
164.800 kr.;2018;95000;2018-02-01;Benzin;19.2;100;A;7800
89.900 kr.;2016;43000;2017-03-31;Benzin;23.3;80;M;4320
149.900 kr.;2019;63000;2019-06-28;Benzin;23.4;100;M;7700
109.900 kr.;2018;101000;2018-03-15;Diesel;28.6;85;M;3300
96.500 kr.;2014;122000;2015-01-09;Benzin;22.2;140;M;8361
159.700 kr.;2019;33000;2019-06-06;Benzin;23.4;100;M;8250
79.500 kr.;2015;152000;2015-06-03;Benzin;23.3;100;M;4700
219.900 kr.;2022;4000;2022-06-16;Benzin;24.2;125;M;6740
164.500 kr.;2019;52000;2019-07-19;Benzin;23.4;125;M;8520
159.500 kr.;2020;62000;2020-08-31;Diesel;31.4;85;M;9500
224.800 kr.;2022;4200;2022-06-10;Benzin;24.2;125;M;7400
74.900 kr.;2012;65000;2012-02-22;Benzin;17.2;96;M;4200
239.900 kr.;2022;5000;2022-07-08;Benzin;24.2;155;M;8960
34.900 kr.;2011;273000;2011-05-23;Diesel;27;95;M;8600
179.800 kr.;2019;60000;2019-04-24;Benzin;22.4;140;M;7700
164.900 kr.;2019;28000;2019-08-30;Benzin;23.4;100;M;2605
99.900 kr.;2017;33000;2017-09-21;Diesel;31.3;95;M;2605
69.900 kr.;2013;182000;2013-05-28;Diesel;27.8;95;M;4600
79.900 kr.;2014;63000;2015-01-26;Benzin;23.3;100;M;4500
109.900 kr.;2016;93000;2017-01-24;Benzin;23.3;125;M;6740
159.500 kr.;2020;24000;2020-04-06;Benzin;26.8;95;M;5260
36.500 kr.;2011;148000;2011-09-22;Diesel;24.4;95;M;4000
79.999 kr.;2014;143000;2014-02-13;Benzin;23.3;125;M;2610
144.900 kr.;2018;107000;2018-01-02;Benzin;22.2;140;M;8600
239.800 kr.;2021;10000;2021-04-26;Benzin;23.9;125;A;3460
39.999 kr.;2010;266000;2010-05-11;Benzin;18.2;60;M;2860
110.000 kr.;2018;87000;2018-06-15;Diesel;28.6;85;M;2610
99.700 kr.;2016;110000;2016-10-27;Benzin;23.3;125;M;8600
154.500 kr.;2018;105000;2018-05-08;Benzin;23.3;125;M;8361
209.900 kr.;2022;5500;2022-01-21;Benzin;24.2;125;M;8700
109.900 kr.;2018;72000;2018-06-22;Diesel;28.6;85;M;6000
189.900 kr.;2021;18000;2021-03-29;Benzin;24.2;125;M;6400
174.900 kr.;2020;60000;2020-02-07;Diesel;31.4;85;M;7400
96.900 kr.;2015;119000;2015-10-30;Benzin;23.3;125;M;7160
164.900 kr.;2018;94000;2018-09-24;Benzin;22.2;140;M;2650
169.400 kr.;2019;68000;2019-11-11;Benzin;22.4;140;M;4000
79.800 kr.;2016;127000;2015-10-29;Benzin;23.3;80;M;4700
229.900 kr.;2022;4;2022-08-11;Benzin;24.2;125;M;8210
79.500 kr.;2017;165000;2016-11-01;Benzin;23.3;125;M;4700
144.000 kr.;2017;74000;2017-07-13;Benzin;23.3;100;M;6950
104.900 kr.;2016;95000;2016-07-19;Benzin;23.3;125;M;2610
189.900 kr.;2021;15000;2021-09-30;Benzin;24.2;125;M;8210
129.900 kr.;2017;98000;2017-11-24;Benzin;23.3;100;M;6200
214.900 kr.;2021;12500;2021-09-28;Benzin;24.2;155;M;8210
249.900 kr.;2022;2000;2022-10-20;Benzin;24.2;125;M;4500
239.900 kr.;2021;9000;2021-09-28;Benzin;22.8;125;A;8210
244.900 kr.;2022;100;2022-10-24;Benzin;24.2;125;M;6705
79.500 kr.;2015;157000;2015-09-24;Benzin;23.3;125;M;4200
114.900 kr.;2016;85000;2016-12-30;Benzin;23.3;125;M;4622
199.800 kr.;2022;2000;2022-02-10;Benzin;24.2;125;M;2970
85.900 kr.;2015;112000;2015-03-20;Diesel;27.8;95;M;7160
189.900 kr.;2021;12000;2021-12-08;Benzin;24.2;125;M;8210
184.800 kr.;2019;68000;2019-06-19;Benzin;22.4;140;M;7400
194.800 kr.;2020;35000;2020-02-29;Benzin;23.4;140;M;4000
199.900 kr.;2020;16400;2020-09-30;Diesel;31.4;85;M;4600
169.900 kr.;2019;71000;2019-09-30;Benzin;23.4;125;M;6200
189.500 kr.;2019;79000;2019-09-12;Benzin;19.6;100;A;6950
119.500 kr.;2017;82000;2017-02-02;Benzin;23.3;125;M;9500
189.500 kr.;2019;83000;2019-09-01;Benzin;19.6;100;A;6950
89.900 kr.;2017;139000;2017-01-11;Diesel;30.3;85;M;5750
164.900 kr.;2019;13500;2019-10-23;Benzin;23.4;125;M;4400
129.900 kr.;2018;96000;2018-06-07;Benzin;23.3;125;M;4600
159.900 kr.;2018;36000;2018-10-31;Benzin;22.9;100;M;8960
199.900 kr.;2019;49000;2019-09-27;Benzin;19.6;100;A;2500
164.900 kr.;2019;59500;2019-05-29;Benzin;23.4;100;M;4600
86.900 kr.;2015;125000;2015-01-19;Benzin;23.3;125;M;4500
194.900 kr.;2020;21000;2020-03-04;Benzin;23.4;140;M;8763
164.900 kr.;2019;37000;2019-06-20;Benzin;22;100;M;7700
199.000 kr.;2021;10000;2022-01-28;Benzin;27.5;155;M;8240
194.800 kr.;2020;46000;2020-03-19;Benzin;19.6;100;A;2970
199.900 kr.;2022;50;2022-10-12;Benzin;22.9;75;M;7500
69.900 kr.;2012;59000;2011-06-07;Benzin;17.5;96;M;5750
169.900 kr.;2021;10600;2021-02-03;Benzin;24.2;125;M;2200
119.900 kr.;2015;29980;2015-06-25;Benzin;20.4;100;A;8240
169.900 kr.;2018;45000;2018-11-20;Benzin;22.2;140;M;6400
169.900 kr.;2019;82800;2019-09-30;Benzin;22.4;140;M;6600
149.900 kr.;2018;81000;2018-06-04;Benzin;20;100;M;7700
219.900 kr.;2022;6000;2022-02-28;Benzin;24.2;125;M;6740
34.900 kr.;2012;211000;2012-10-22;Benzin;18.5;60;M;4700
209.000 kr.;2021;12760;2021-09-28;Benzin;23.7;125;M;8660
249.900 kr.;2019;47000;2019-01-18;Benzin;18.3;200;M;4600
209.900 kr.;2019;45000;2019-06-28;Benzin;19.3;100;A;4600
132.000 kr.;2019;116000;2019-03-27;Benzin;22.9;125;M;8660
214.800 kr.;2018;88000;2018-09-14;Benzin;18.3;200;M;2860
87.400 kr.;2016;144000;2016-01-26;Benzin;23.3;100;M;4700
99.900 kr.;2016;29000;2016-09-09;Diesel;31.3;95;M;7000
249.800 kr.;2019;47000;2019-06-14;Benzin;18.3;200;M;2500
99.900 kr.;2015;96000;2016-06-28;Benzin;23.3;100;M;6100
159.700 kr.;2018;91000;2018-02-13;Benzin;19.6;140;M;8250
209.900 kr.;2022;2000;2022-03-28;Benzin;24.2;125;M;5500
174.900 kr.;2020;30000;2020-09-30;Diesel;31.4;85;M;4760
237.900 kr.;2022;100;2022-10-24;Benzin;24.2;125;M;6705
