price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
339.998 kr.;2020;93000;2019-03-04;El;75.1;498;A;2630
385.900 kr.;2021;13000;2022-01-27;El;77.8;325;A;9440
419.500 kr.;2021;48000;2021-01-11;El;66.9;513;A;7700
448.800 kr.;2021;15500;2021-09-23;El;75.1;498;A;2670
449.800 kr.;2022;10000;2022-03-17;El;75.1;498;A;6400
319.900 kr.;2019;64000;2019-03-25;El;69;462;A;2860
365.000 kr.;2022;11000;2022-02-18;El;76.7;325;A;6400
454.000 kr.;2022;0;2022-09-28;El;74.1;283;A;7000
454.000 kr.;2022;0;2022-09-28;El;74.1;283;A;7000
339.800 kr.;2021;40000;2021-03-29;El;77.8;325;A;4700
454.000 kr.;2022;0;2022-09-28;El;74.1;283;A;7000
507.000 kr.;2022;0;2022-09-29;El;75.1;498;A;7000
507.000 kr.;2022;0;2022-09-28;El;75.1;498;A;7000
507.000 kr.;2022;0;2022-09-28;El;75.1;498;A;7000
389.800 kr.;2020;30000;2021-04-14;El;66.5;490;A;8260
429.800 kr.;2021;18000;2021-12-10;El;66.9;513;A;6400
364.900 kr.;2019;53000;2019-06-27;El;66.5;490;A;4600
419.900 kr.;2021;20000;2021-12-07;El;75.1;498;A;3540
284.800 kr.;2019;73000;2019-06-28;El;74.1;283;A;8660
324.900 kr.;2020;32000;2020-09-07;El;74.1;283;A;2610
279.900 kr.;2019;37000;2019-09-20;El;74.1;283;A;7000
339.900 kr.;2021;35000;2021-02-22;El;77.8;283;A;8240
424.800 kr.;2021;35340;2021-12-01;El;75.1;498;A;4200
448.900 kr.;2022;14000;2022-03-21;El;66.9;513;A;8653
324.900 kr.;2020;61000;2020-02-27;El;74.1;325;A;2610
424.900 kr.;2021;12000;2021-09-09;El;75.1;498;A;8653
479.900 kr.;2022;7500;2022-02-28;El;75.1;498;A;9800
399.900 kr.;2021;38000;2020-12-28;El;75.1;498;A;8600
418.795 kr.;2021;10900;2021-12-09;El;75.1;498;A;8381
369.800 kr.;2020;61000;2020-06-19;El;69;498;A;4600
388.800 kr.;2019;49000;2019-09-11;El;66.5;483;A;2730
409.900 kr.;2021;14000;2021-09-24;El;75.1;498;A;1250
459.800 kr.;2021;7500;2021-11-30;El;75.1;498;A;9900
389.900 kr.;2021;7000;2022-01-13;El;77.8;325;A;9440
349.900 kr.;2021;6000;2021-12-11;El;77.8;325;A;5250
454.900 kr.;2021;38000;2021-03-18;El;66.9;513;A;6800
394.995 kr.;2022;20000;2022-03-29;El;75.1;498;A;2765
338.900 kr.;2021;30000;2021-08-10;El;77.8;325;A;8210
339.800 kr.;2022;13000;2022-02-18;El;74.1;283;A;6760
429.900 kr.;2021;24000;2021-06-14;El;66.9;513;A;5250
399.000 kr.;2021;16000;2021-06-22;El;75.1;498;A;8700
389.900 kr.;2021;4000;2022-01-26;El;77.8;325;A;9440
383.900 kr.;2021;25500;2020-12-15;El;75.1;498;A;2670
379.800 kr.;2020;86000;2020-03-21;El;69;491;A;4200
507.000 kr.;2022;0;2022-09-30;El;75.1;498;A;2630
419.800 kr.;2022;9000;2021-11-15;El;75.1;498;A;6740
444.900 kr.;2022;12035;2022-02-24;El;66.9;513;A;4000
428.900 kr.;2022;11000;2022-03-02;El;75.1;498;A;8653
454.800 kr.;2021;13000;2021-09-17;El;75.1;498;A;7200
469.900 kr.;2021;500;2021-11-23;El;66.9;513;A;8600
339.890 kr.;2021;25000;2021-12-13;El;77.8;325;A;2770
449.900 kr.;2022;15000;2022-03-21;El;75.1;498;A;8800
319.900 kr.;2021;30000;2021-06-28;El;77.8;325;A;7000
349.900 kr.;2022;15000;2022-03-08;El;76.7;325;A;7160
454.000 kr.;2022;0;2022-09-30;El;74.1;283;A;2630
395.000 kr.;2021;28000;2021-12-07;El;75.1;498;A;6400
507.000 kr.;2022;0;2022-09-30;El;75.1;498;A;2630
507.000 kr.;2022;0;2022-09-30;El;75.1;498;A;2630
355.000 kr.;2021;9000;2021-08-19;El;77.8;325;A;6400
379.900 kr.;2021;22000;2022-01-26;El;77.8;325;A;9440
477.000 kr.;2021;21000;2021-08-26;El;66.9;513;A;2630
408.600 kr.;2021;51000;2021-03-05;El;75.1;495;A;8210
384.700 kr.;2022;29000;2021-12-01;El;75.1;498;A;7000
359.900 kr.;2022;15000;2022-02-23;El;74.1;283;A;9280
339.890 kr.;2021;21700;2021-12-01;El;77.8;325;A;2770
359.900 kr.;2022;22000;2022-02-22;El;74.1;283;A;9280
389.800 kr.;2021;43000;2021-09-21;El;75.1;498;A;8200
329.900 kr.;2020;65000;2020-05-04;El;69;491;A;2605
445.000 kr.;2022;12000;2022-03-09;El;66.9;513;A;6400
408.800 kr.;2021;24000;2021-05-14;El;75.1;476;A;2670
338.900 kr.;2021;47000;2021-03-26;El;77.8;283;A;8210
369.800 kr.;2022;12000;2022-02-07;El;76.7;325;A;6400
418.800 kr.;2021;18226;2021-06-01;El;75.1;498;A;2860
364.900 kr.;2022;9000;2022-03-23;El;74.1;283;A;9280
384.890 kr.;2021;16419;2021-09-23;El;75.1;498;A;2770
359.900 kr.;2022;13000;2022-03-17;El;74.1;283;A;9280
374.900 kr.;2019;96000;2019-12-03;El;66.5;490;A;7000
328.900 kr.;2021;30000;2021-05-24;El;77.8;325;A;8250
417.000 kr.;2021;25000;2021-09-22;El;75.1;498;A;7000
394.995 kr.;2022;19000;2022-04-04;El;75.1;498;A;2765
449.500 kr.;2022;5900;2021-12-13;El;75.1;498;A;2670
379.700 kr.;2020;43600;2020-02-26;El;69;498;A;2670
424.900 kr.;2021;17000;2021-06-08;El;75.1;498;A;8653
419.900 kr.;2021;9500;2021-09-14;El;75.1;498;A;8600
408.800 kr.;2021;15000;2021-09-28;El;75.1;476;A;2860
489.900 kr.;2022;6000;2022-03-08;El;66.9;513;A;6340
444.900 kr.;2022;12450;2022-02-24;El;66.9;513;A;4000
429.900 kr.;2021;15000;2021-06-15;El;66.9;513;A;5250
414.000 kr.;2021;22000;2021-06-23;El;66.9;513;A;9700
414.800 kr.;2021;5000;2021-11-18;El;75.1;498;A;3460
379.900 kr.;2020;25000;2020-07-23;El;69;491;A;8660
439.900 kr.;2022;10000;2022-02-22;El;75.1;498;A;8653
399.900 kr.;2020;23000;2019-06-27;El;66.5;513;A;5750
348.700 kr.;2022;15387;2022-02-08;El;76.7;325;A;4000
322.900 kr.;2021;21726;2021-11-16;El;77.8;283;A;4000
364.900 kr.;2022;14000;2022-02-11;El;74.1;283;A;9280
343.900 kr.;2021;14801;2021-06-11;El;77.8;283;A;4000
339.900 kr.;2022;20000;2022-03-28;El;74.1;283;A;9280
339.900 kr.;2022;21000;2022-02-25;El;74.1;283;A;9280
507.000 kr.;2022;0;2022-10-05;El;75.1;498;A;2630
444.900 kr.;2021;29575;2021-08-30;El;66.9;513;A;4000
399.500 kr.;2021;78000;2020-12-04;El;75.1;498;A;6261
399.900 kr.;2021;46000;2021-03-26;El;75.1;498;A;5210
359.980 kr.;2021;27000;2021-06-10;El;77.8;325;A;4200
349.900 kr.;2020;32000;2020-03-21;El;69;491;A;2605
349.000 kr.;2019;60000;2019-06-26;El;69;440;A;9500
379.900 kr.;2021;53500;2020-12-03;El;66.9;513;A;2605
359.900 kr.;2022;14000;2022-02-22;El;74.1;283;A;9280
365.000 kr.;2021;21000;2021-05-20;El;77.8;283;A;6230
329.800 kr.;2019;42000;2019-03-26;El;69;462;A;2980
329.700 kr.;2021;14000;2021-07-01;El;77.8;325;A;4700
384.800 kr.;2021;30442;2021-11-29;El;75.1;495;A;4000
459.800 kr.;2021;4000;2021-12-01;El;75.1;498;A;9900
374.800 kr.;2022;9000;2022-02-23;El;74.1;283;A;6760
419.900 kr.;2021;9000;2021-11-03;El;75.1;498;A;3460
399.900 kr.;2019;65400;2019-04-02;El;66.5;490;A;5683
384.800 kr.;2022;9000;2022-03-03;El;74.1;283;A;6760
489.990 kr.;2021;14000;2021-07-15;El;75.1;476;A;2630
434.900 kr.;2021;14000;2021-12-17;El;66.9;513;A;6800
348.800 kr.;2021;26000;2021-09-07;El;77.8;325;A;2730
359.900 kr.;2021;7000;2021-12-15;El;77.8;325;A;4000
419.900 kr.;2021;16500;2021-12-02;El;75.1;495;A;5250
389.800 kr.;2021;17000;2021-09-20;El;75.1;498;A;6400
359.700 kr.;2022;10000;2022-03-15;El;76.7;325;A;4700
419.500 kr.;2021;39000;2020-12-27;El;66.9;513;A;8940
419.800 kr.;2021;13000;2021-11-09;El;75.1;498;A;6400
375.000 kr.;2020;32000;2020-03-02;El;69;491;A;2610
429.995 kr.;2021;18500;2021-11-16;El;66.9;513;A;2750
419.800 kr.;2022;10000;2022-03-02;El;75.1;498;A;6400
349.800 kr.;2021;25200;2021-12-17;El;77.8;325;A;2670
439.900 kr.;2021;25000;2021-06-11;El;75.1;441;A;9400
395.000 kr.;2021;19000;2021-09-21;El;75.1;498;A;6400
274.900 kr.;2019;83000;2019-09-17;El;74.1;306;A;8450
359.900 kr.;2022;19000;2022-02-25;El;74.1;283;A;9280
369.700 kr.;2021;23150;2021-09-09;El;77.8;325;A;9000
359.900 kr.;2019;40000;2019-05-28;El;75.1;283;A;6000
349.800 kr.;2021;4700;2021-12-27;El;77.8;325;A;9900
379.800 kr.;2022;8000;2022-03-10;El;74.1;283;A;6760
339.900 kr.;2022;25000;2022-03-11;El;74.1;283;A;9280
387.000 kr.;2021;32000;2021-03-30;El;75.1;498;A;7000
459.800 kr.;2021;9300;2021-11-18;El;75.1;498;A;9900
338.900 kr.;2021;37000;2021-03-08;El;77.8;325;A;8210
489.900 kr.;2022;15000;2022-07-01;El;75.1;498;A;7100
314.900 kr.;2019;82000;2019-12-05;El;69;491;A;2605
374.900 kr.;2022;3000;2022-03-01;El;74.1;283;A;7000
494.900 kr.;2022;15000;2022-07-01;El;75.1;498;A;7100
344.890 kr.;2021;17000;2021-11-16;El;77.8;325;A;2770
389.900 kr.;2021;19000;2021-08-05;El;75.1;476;A;8920
329.900 kr.;2019;36000;2019-09-01;El;74.1;283;A;4140
379.900 kr.;2022;8000;2022-02-16;El;74.1;283;A;7000
384.890 kr.;2021;22700;2021-12-01;El;75.1;495;A;2770
438.898 kr.;2022;11500;2022-02-14;El;75.1;498;A;6740
389.900 kr.;2021;29000;2021-03-13;El;77.8;325;A;9400
374.900 kr.;2022;3000;2022-03-04;El;74.1;283;A;7000
389.500 kr.;2021;37000;2021-02-17;El;75.1;495;A;2770
369.900 kr.;2022;8000;2022-02-14;El;74.1;283;A;7000
479.900 kr.;2022;15000;2022-07-01;El;75.1;498;A;7100
428.000 kr.;2021;9100;2021-12-22;El;75.1;498;A;9000
429.800 kr.;2021;16000;2021-06-17;El;66.9;513;A;6760
429.900 kr.;2022;6000;2022-02-28;El;75.1;498;A;4520
378.900 kr.;2019;68000;2019-02-14;El;66.5;483;A;7400
414.900 kr.;2021;8000;2021-11-18;El;75.1;498;A;3460
384.900 kr.;2021;51000;2020-12-28;El;66.9;513;A;2610
369.900 kr.;2022;17000;2021-09-07;El;76.7;325;A;2750
409.900 kr.;2022;9800;2022-03-01;El;75.1;498;A;8361
399.900 kr.;2021;6750;2021-12-15;El;77.8;325;A;8260
399.900 kr.;2021;57000;2021-03-18;El;66.9;513;A;8210
424.995 kr.;2021;15000;2021-03-10;El;66.9;513;A;2750
348.800 kr.;2021;26800;2021-06-24;El;77.8;325;A;2670
447.000 kr.;2021;50000;2021-03-19;El;66.9;513;A;7000
348.700 kr.;2020;116000;2019-12-15;El;66.5;513;A;7100
352.900 kr.;2021;19000;2021-08-24;El;77.8;325;A;7200
309.900 kr.;2019;51000;2019-09-02;El;74.1;306;A;8700
419.980 kr.;2021;51000;2021-02-16;El;75.1;498;A;2860
342.000 kr.;2021;52000;2021-03-16;El;77.8;283;A;7000
384.000 kr.;2021;35000;2021-05-26;El;75.1;498;A;8653
433.898 kr.;2021;30500;2021-06-08;El;75.1;498;A;6740
384.995 kr.;2021;23000;2021-09-28;El;75.1;498;A;2765
397.000 kr.;2020;29000;2020-09-24;El;66.5;513;A;7000
419.900 kr.;2021;12000;2021-11-23;El;66.9;513;A;7000
359.700 kr.;2022;11000;2021-12-08;El;76.7;325;A;4700
449.900 kr.;2022;8000;2022-02-02;El;66.9;513;A;5250
399.900 kr.;2020;37500;2020-02-12;El;69;491;A;7500
409.800 kr.;2022;18000;2021-12-06;El;75.1;498;A;4700
349.000 kr.;2019;74000;2019-03-27;El;69;491;A;7400
422.222 kr.;2021;22000;2021-09-27;El;75.1;498;A;6740
279.900 kr.;2019;43000;2019-09-13;El;74.1;306;A;7000
438.783 kr.;2021;18500;2021-09-15;El;66.9;513;A;6740
384.890 kr.;2021;11000;2021-12-01;El;75.1;498;A;2770
389.800 kr.;2019;90000;2019-03-19;El;66.5;483;A;9440
424.900 kr.;2021;12000;2021-11-17;El;75.1;498;A;3460
425.000 kr.;2021;8950;2021-12-29;El;66.9;513;A;9800
399.900 kr.;2020;29000;2020-05-04;El;69;498;A;8600
324.900 kr.;2020;93000;2019-12-19;El;69;442;A;7120
319.400 kr.;2019;77000;2019-06-27;El;74.1;283;A;4600
434.800 kr.;2021;26000;2021-07-28;El;75.1;498;A;4600
