price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
144.900 kr.;2016;81000;2016-12-15;Benzin;23.8;95;A;2500
14.900 kr.;2000;181000;2000-02-25;Benzin;17.4;50;M;4600
109.900 kr.;2015;105000;2015-05-07;Benzin;24.4;95;M;7173
269.900 kr.;2018;36000;2018-09-12;Benzin;16.9;200;A;8700
259.900 kr.;2019;39000;2019-04-30;Benzin;21.6;150;A;5200
69.700 kr.;2010;198000;2010-12-21;Diesel;23.3;90;A;3520
149.800 kr.;2015;134000;2014-11-11;Benzin;21.3;150;A;4700
250.000 kr.;2018;103000;2018-04-30;Benzin;16.9;200;A;4621
194.900 kr.;2019;82200;2019-06-19;Diesel;28.2;95;A;4600
14.900 kr.;2004;188000;2004-09-09;Benzin;15.5;75;M;4600
254.900 kr.;2019;28000;2019-04-05;Benzin;21.6;150;A;2770
239.900 kr.;2022;7385;2022-02-17;Benzin;23.3;95;M;2630
349.900 kr.;2022;2000;2022-04-27;Benzin;17.5;207;A;8700
349.900 kr.;2022;4000;2022-04-26;Benzin;17.5;207;A;7400
189.900 kr.;2018;94000;2018-03-22;Benzin;21.3;115;A;2600
179.900 kr.;2018;122000;2018-08-03;Benzin;21.3;115;A;2620
224.900 kr.;2019;95200;2019-08-06;Benzin;21.6;150;A;7500
184.900 kr.;2018;66000;2017-10-05;Benzin;22.2;95;M;4990
239.800 kr.;2019;64000;2019-04-25;Benzin;21.6;150;A;4700
124.900 kr.;2017;137000;2017-01-12;Benzin;21.3;90;M;8653
214.700 kr.;2019;27000;2019-08-07;Benzin;22.9;115;A;8800
209.900 kr.;2019;42000;2018-05-09;Benzin;22.9;115;A;8920
174.900 kr.;2019;28000;2018-10-03;Benzin;22.7;95;M;7100
64.000 kr.;2010;182000;2010-09-17;Diesel;30.3;75;M;8700
29.900 kr.;2006;178000;2006-03-01;Benzin;15.5;75;M;2600
134.900 kr.;2016;70000;2016-06-01;Benzin;21.3;90;M;2920
199.900 kr.;2019;52000;2019-08-23;Benzin;22.9;115;A;7160
214.700 kr.;2019;26000;2019-08-13;Benzin;22.9;115;A;8800
219.900 kr.;2020;9000;2020-04-16;Benzin;23.4;115;M;7160
229.900 kr.;2019;48000;2019-07-01;Benzin;23.4;115;M;6800
259.000 kr.;2022;11000;2022-05-06;Benzin;21.6;95;A;9900
279.900 kr.;2020;44000;2020-02-19;Benzin;18;200;A;4622
199.900 kr.;2019;68000;2019-07-16;Benzin;23.4;95;A;5750
124.900 kr.;2016;103000;2016-07-19;Benzin;21.3;90;M;8500
249.900 kr.;2018;91000;2018-06-14;Benzin;16.9;200;A;5200
254.800 kr.;2022;11000;2021-09-28;Benzin;21.6;110;A;6715
149.900 kr.;2016;59000;2016-01-21;Benzin;21.3;90;A;2605
134.800 kr.;2017;54000;2017-02-24;Benzin;24.4;95;M;6000
104.900 kr.;2016;193000;2015-08-17;Benzin;20.8;110;M;4684
279.900 kr.;2019;29000;2019-10-03;Benzin;18;200;A;6705
104.800 kr.;2015;116000;2015-05-06;Benzin;24.4;95;M;8940
209.900 kr.;2019;44000;2019-02-25;Benzin;23.4;95;A;8600
124.500 kr.;2017;82000;2016-12-27;Benzin;24.4;95;M;4200
119.800 kr.;2013;82000;2013-04-16;Benzin;19.6;90;M;6400
154.500 kr.;2016;86000;2016-04-28;Benzin;23.8;95;A;4200
129.500 kr.;2017;107000;2017-02-20;Diesel;27;90;M;4200
144.900 kr.;2018;162000;2018-02-23;Diesel;27;95;M;8600
189.900 kr.;2016;101000;2015-08-25;Benzin;17.9;192;M;9640
147.900 kr.;2017;140000;2017-03-03;Diesel;28.6;90;A;4600
254.900 kr.;2019;48000;2019-07-22;Benzin;18;200;A;6000
139.900 kr.;2017;46785;2017-03-30;Benzin;23.8;95;M;8240
174.900 kr.;2019;45000;2019-05-29;Benzin;23.9;95;M;2610
194.700 kr.;2020;24000;2020-08-31;Benzin;23.9;95;M;6100
359.800 kr.;2022;7000;2022-04-29;Benzin;17.5;207;A;9620
254.900 kr.;2020;62000;2020-02-26;Benzin;19;200;A;8600
187.900 kr.;2018;95000;2018-08-21;Diesel;25.6;95;A;7200
349.900 kr.;2022;2000;2022-04-20;Benzin;17.5;207;A;3600
115.000 kr.;2017;132000;2016-11-07;Benzin;21.3;90;M;2610
229.900 kr.;2020;35000;2020-09-23;Benzin;23.4;115;A;6715
199.900 kr.;2019;25000;2019-06-26;Benzin;23.4;95;A;4400
