price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type
99.000 kr.;2017;39000;2016-09-14;Benzin;24.4;60;M
84.900 kr.;2017;111000;2016-12-14;Benzin;24.4;60;M
94.800 kr.;2017;138000;2017-03-06;Benzin;22.7;90;M
92.700 kr.;2017;65000;2017-04-18;Benzin;24.4;60;M
84.500 kr.;2017;123000;2016-09-06;Benzin;24.4;60;M
99.900 kr.;2018;64000;2017-10-18;Benzin;24.4;60;M
109.800 kr.;2017;57000;2017-02-10;Benzin;24.4;60;M
89.900 kr.;2017;90000;2016-12-12;Benzin;24.4;60;M
69.900 kr.;2014;154000;2014-04-04;Benzin;24.4;60;M
71.180 kr.;2015;137000;2014-07-31;Benzin;24.4;60;M
109.900 kr.;2018;90000;2018-07-30;Benzin;22.7;60;M
114.900 kr.;2019;63000;2019-04-25;Benzin;26.2;60;M
84.000 kr.;2015;72000;2014-08-26;Benzin;24.4;60;M
62.500 kr.;2013;102000;2012-12-05;Benzin;24.4;60;M
64.900 kr.;2013;132000;2012-12-21;Benzin;22.2;60;M
79.900 kr.;2013;143000;2013-02-15;Benzin;22.2;75;A
69.900 kr.;2013;84000;2013-06-03;Benzin;22.2;60;M
147.800 kr.;2020;9000;2020-05-12;Benzin;25;60;M
69.900 kr.;2013;93000;2013-01-02;Benzin;22.2;60;M
72.900 kr.;2017;158000;2017-05-02;Benzin;24.4;60;M
53.000 kr.;2013;174000;2012-08-24;Benzin;22.2;60;M
114.900 kr.;2017;89000;2016-11-25;Benzin;22.7;90;M
72.900 kr.;2015;106000;2015-01-29;Benzin;24.4;60;M
129.900 kr.;2020;33000;2020-03-18;Benzin;25;60;M
59.800 kr.;2016;131000;2015-10-21;Benzin;24.4;60;M
84.800 kr.;2014;60000;2014-05-02;Benzin;24.4;60;M
99.500 kr.;2017;27000;2017-02-14;Benzin;24.4;60;M
104.900 kr.;2018;44000;2017-12-28;Benzin;24.4;60;M
94.900 kr.;2017;85000;2017-08-17;Benzin;24.4;60;M
