price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type
16.495 kr.;2006;171000;2006-04-03;Benzin;14.9;75;M
16.900 kr.;2005;197000;2005-06-15;Benzin;16.4;55;M
29.000 kr.;2007;80000;2007-03-01;Benzin;16.4;55;M
18.900 kr.;2005;147000;2005-12-23;Benzin;16.4;55;M
16.500 kr.;2005;218000;2005-11-01;Benzin;16.4;55;M
22.800 kr.;2005;227000;2005-08-17;Benzin;14.9;75;M
17.500 kr.;2006;202000;2006-05-15;Benzin;16.4;55;M
19.900 kr.;2006;185000;2006-03-29;Benzin;14.9;75;M
29.800 kr.;2007;115000;2006-12-01;Benzin;14.9;75;M
16.500 kr.;2007;188000;2007-05-31;Benzin;16.4;55;M
16.700 kr.;2007;221000;2007-05-02;Benzin;16.4;55;M
27.800 kr.;2006;157000;2006-04-21;Benzin;14.9;75;M
24.900 kr.;2006;180000;2006-06-12;Benzin;14.9;75;M
29.900 kr.;2005;122000;2005-07-08;Benzin;16.4;55;M
