price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type
674.900 kr.;2022;25000;2022-02-07;Diesel;25.7;200;A
339.900 kr.;2017;157000;2018-07-31;Diesel;21.3;170;A
614.900 kr.;2022;15000;2021-11-01;Diesel;25.7;200;A
62.900 kr.;2009;371000;2009-08-27;Diesel;14.9;136;A
639.900 kr.;2016;77000;2016-06-27;Benzin;12.3;367;A
399.000 kr.;2017;104900;2017-09-29;Benzin;15.4;245;A
649.900 kr.;2022;20000;2021-12-30;Plug-in hybrid Benzin;40.6;313;A
735.000 kr.;2016;58000;2016-10-02;Benzin;12.7;367;A
629.900 kr.;2022;12000;2022-02-28;Plug-in hybrid Benzin;40.6;313;A
644.900 kr.;2022;26000;2021-12-21;Diesel;23.3;265;A
149.800 kr.;2011;258000;2011-04-11;Diesel;19.6;120;A
899.999 kr.;2018;42000;2018-02-06;Benzin;12.7;367;A
649.900 kr.;2022;11000;2022-03-01;Plug-in hybrid Benzin;40.6;313;A
279.900 kr.;2018;175000;2018-04-11;Diesel;22.9;194;A
619.900 kr.;2022;20000;2022-06-01;Plug-in hybrid Benzin;41.9;313;A
629.900 kr.;2022;5000;2022-06-13;Plug-in hybrid Benzin;40.6;313;A
644.900 kr.;2022;25000;2022-01-28;Plug-in hybrid Benzin;40.6;313;A
644.900 kr.;2022;29000;2022-01-31;Plug-in hybrid Benzin;40.6;313;A
644.900 kr.;2022;24000;2022-01-28;Plug-in hybrid Benzin;40.6;313;A
644.900 kr.;2022;20000;2022-02-28;Plug-in hybrid Benzin;40.6;313;A
654.900 kr.;2022;17000;2022-02-28;Plug-in hybrid Benzin;40.6;313;A
349.900 kr.;2016;89000;2017-02-24;Diesel;21.3;170;A
644.900 kr.;2022;20000;2021-12-16;Plug-in hybrid Benzin;40.6;313;A
283.730 kr.;2017;85000;2017-01-30;Benzin;18.2;184;A
644.900 kr.;2022;22000;2022-01-28;Plug-in hybrid Benzin;40.6;313;A
99.700 kr.;2012;317000;2012-08-15;Diesel;20.8;136;M
519.900 kr.;2016;64500;2016-03-21;Benzin;12.7;367;A
559.900 kr.;2022;14000;2022-03-15;Diesel;25.7;200;A
674.900 kr.;2022;11000;2022-02-16;Diesel;25.7;200;A
329.800 kr.;2018;177000;2018-09-26;Diesel;20.8;194;A
549.900 kr.;2018;106000;2018-04-13;Diesel;22.7;204;A
349.900 kr.;2017;134000;2018-06-29;Diesel;21.3;170;A
649.900 kr.;2022;15000;2021-08-19;Diesel;23.3;265;A
380.000 kr.;2018;94000;2018-04-24;Diesel;21.3;170;A
189.900 kr.;2009;139000;2009-03-20;Benzin;10.6;231;A
399.900 kr.;2020;94850;2019-08-15;Benzin;17.2;258;A
339.900 kr.;2018;119000;2018-07-04;Diesel;21.3;170;A
419.895 kr.;2019;28934;2019-10-31;Benzin;17.7;184;A
849.900 kr.;2017;68000;2018-01-09;Benzin;11.9;367;A
379.900 kr.;2019;104000;2019-01-30;Diesel;23.9;194;A
354.900 kr.;2018;91000;2019-05-02;Diesel;23.9;194;A
219.800 kr.;2015;254000;2015-02-04;Diesel;23.3;170;A
114.900 kr.;2013;324000;2013-06-20;Diesel;19.6;136;A
979.900 kr.;2018;63000;2018-12-06;Benzin;10.5;390;A
639.900 kr.;2022;32000;2022-01-28;Plug-in hybrid Benzin;40.6;313;A
634.900 kr.;2022;24000;2022-01-28;Plug-in hybrid Benzin;40.6;313;A
539.900 kr.;2022;13000;2021-08-27;Benzin;18.9;204;A
509.900 kr.;2022;17000;2021-12-16;Diesel;26.9;200;A
289.900 kr.;2015;112000;2015-04-08;Benzin;18.2;184;A
299.700 kr.;2015;171000;2014-12-05;Benzin;18.9;211;A
489.800 kr.;2021;14000;2020-11-11;Plug-in hybrid Benzin;32.7;320;A
459.800 kr.;2020;11000;2020-09-04;Plug-in hybrid Benzin;32.7;320;A
268.500 kr.;2017;51000;2017-04-19;Diesel;19.2;170;A
609.900 kr.;2022;13000;2022-04-11;Benzin;18.9;204;A
919.900 kr.;2019;23000;2019-05-08;Benzin;11.5;390;A
275.000 kr.;2020;41000;2019-08-12;Benzin;18.3;184;A
359.900 kr.;2018;85000;2019-06-03;Diesel;23.9;194;A
299.700 kr.;2015;247600;2015-04-24;Diesel;20.8;204;A
349.900 kr.;2019;132000;2018-12-27;Diesel;21.7;194;A
589.800 kr.;2022;17000;2021-09-02;Diesel;26.9;200;A
299.900 kr.;2018;162000;2018-01-31;Diesel;21.3;170;A
170.000 kr.;2014;308310;2014-11-10;Diesel;22.2;170;A
259.900 kr.;2016;146000;2016-03-30;Benzin;18.2;184;A
619.900 kr.;2022;19000;2022-03-01;Plug-in hybrid Benzin;40.6;313;A
449.000 kr.;2020;17000;2020-09-09;Plug-in hybrid Benzin;32.7;320;A
379.900 kr.;2018;87000;2018-08-03;Diesel;22.9;194;A
609.900 kr.;2022;13000;2022-02-23;Diesel;26.9;200;A
