price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
579.800 kr.;2022;9000;2022-04-08;El;64.6;534;A;6670
509.500 kr.;2022;19000;2022-03-01;El;65.3;514;A;8381
575.000 kr.;2022;22000;2021-08-28;El;65.3;514;A;5750
579.900 kr.;2022;23000;2021-12-10;El;65.3;514;A;2970
504.900 kr.;2022;9000;2022-03-23;El;65.3;514;A;2100
539.900 kr.;2021;6700;2021-09-20;El;65.3;514;A;7800
549.800 kr.;2021;10433;2022-03-16;El;65.3;514;A;4200
649.900 kr.;2022;14900;2022-04-20;El;64.6;534;A;8260
617.400 kr.;2022;0;2022-10-11;El;65.3;514;A;8260
519.900 kr.;2022;12000;2022-03-01;El;65.3;514;A;8361
528.900 kr.;2022;2000;2022-09-10;El;65.3;514;A;4000
549.900 kr.;2022;30;2022-08-31;El;65.3;514;A;6710
569.900 kr.;2022;0;2022-08-31;El;65.3;514;A;6710
549.900 kr.;2022;9000;2022-03-01;El;65.3;514;A;9440
544.800 kr.;2021;11000;2021-09-23;El;65.3;514;A;9440
539.800 kr.;2021;6500;2021-12-07;El;65.3;514;A;9440
545.900 kr.;2022;17000;2022-03-02;El;65.3;514;A;9440
579.900 kr.;2021;30200;2021-04-29;El;64.6;456;A;2670
495.000 kr.;2022;8000;2022-03-03;El;65.3;384;A;9000
599.900 kr.;2022;81;2022-08-17;El;62.5;514;A;6710
549.900 kr.;2022;48;2022-08-31;El;62.5;514;A;6710
549.900 kr.;2022;41;2022-08-31;El;62.5;514;A;6710
589.900 kr.;2022;11000;2022-04-07;El;64.6;534;A;6800
489.800 kr.;2022;18000;2022-02-10;El;65.3;514;A;6400
539.900 kr.;2022;2000;2022-09-01;El;65.3;384;A;7000
539.900 kr.;2022;2000;2022-09-01;El;65.3;384;A;7000
494.900 kr.;2022;18000;2022-02-15;El;65.3;514;A;7200
569.900 kr.;2022;9000;2022-03-01;El;65.3;514;A;8260
499.900 kr.;2022;19000;2022-02-07;El;65.3;514;A;2610
549.900 kr.;2022;3600;2022-02-15;El;65.3;514;A;7800
509.900 kr.;2022;7900;2022-03-17;El;65.3;514;A;2500
544.800 kr.;2021;12000;2021-11-15;El;65.3;514;A;9440
509.800 kr.;2022;6000;2022-08-29;El;65.3;514;A;7200
469.900 kr.;2021;21000;2021-11-15;El;65.3;514;A;7160
544.800 kr.;2021;15000;2021-11-26;El;65.3;514;A;9440
564.900 kr.;2022;22000;2022-04-27;El;64.6;534;A;8361
519.900 kr.;2022;8000;2022-03-01;El;62.5;514;A;7000
519.900 kr.;2022;6000;2022-02-21;El;65.3;384;A;8920
