price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type
269.900 kr.;2020;29000;2020-09-10;Benzin;19;200;A
214.900 kr.;2022;6000;2022-04-27;Benzin;23.3;95;M
134.500 kr.;2014;126500;2013-11-11;Benzin;13.3;220;M
349.900 kr.;2022;8000;2022-06-03;Benzin;17.5;207;A
209.900 kr.;2018;73000;2018-05-25;Benzin;21.7;95;A
27.990 kr.;2006;235000;2006-02-23;Benzin;15.5;75;M
7.900 kr.;2002;280000;2002-10-16;Benzin;15.5;75;M
249.800 kr.;2018;72000;2018-08-15;Benzin;16.9;200;A
199.900 kr.;2019;59000;2018-09-17;Benzin;23.4;95;A
179.900 kr.;2019;43000;2018-09-17;Benzin;23.4;115;M
79.900 kr.;2011;130000;2011-05-09;Diesel;29.4;75;M
199.800 kr.;2019;38000;2019-07-01;Benzin;23.4;95;A
124.900 kr.;2015;133000;2015-08-27;Diesel;28.6;90;A
364.900 kr.;2022;9000;2022-04-27;Benzin;17.5;207;A
132.900 kr.;2017;139000;2017-05-03;Benzin;23.3;95;A
230.000 kr.;2021;19000;2021-06-29;Benzin;21.2;110;A
239.900 kr.;2019;62000;2019-03-18;Benzin;21.6;150;A
245.000 kr.;2018;111000;2018-02-27;Benzin;16.9;200;A
154.900 kr.;2016;67000;2015-09-23;Benzin;20.8;150;M
199.900 kr.;2022;18000;2022-01-03;Benzin;21.6;80;M
179.900 kr.;2017;27700;2017-07-17;Benzin;21.3;90;A
219.900 kr.;2021;20000;2021-06-28;Benzin;21.6;95;A
144.900 kr.;2016;53000;2016-08-11;Benzin;21.3;90;M
108.500 kr.;2016;93000;2015-10-27;Benzin;24.4;95;M
145.900 kr.;2018;76500;2018-05-03;Benzin;20.8;75;M
164.900 kr.;2017;83000;2017-03-02;Benzin;20.8;150;M
94.900 kr.;2014;148000;2014-04-10;Benzin;19.6;90;M
184.900 kr.;2021;13000;2021-07-29;Benzin;21.6;80;M
219.800 kr.;2020;11000;2019-09-19;Benzin;22.9;115;A
224.900 kr.;2019;27000;2020-04-14;Benzin;22.9;115;A
259.900 kr.;2019;27000;2019-05-15;Benzin;18;200;A
199.900 kr.;2022;16000;2022-01-03;Benzin;21.6;80;M
129.900 kr.;2013;130000;2013-01-16;Benzin;18.9;90;A
89.900 kr.;2012;186000;2012-05-08;Benzin;17.2;85;A
169.900 kr.;2019;108000;2019-04-08;Diesel;29.7;95;M
254.900 kr.;2020;86000;2020-02-24;Benzin;18;200;A
