;price;model_year;km;reg
0;99.000 kr.;2017;39000;2016-09-14
1;84.900 kr.;2017;111000;2016-12-14
2;94.800 kr.;2017;138000;2017-03-06
3;92.700 kr.;2017;65000;2017-04-18
4;84.500 kr.;2017;123000;2016-09-06
5;99.900 kr.;2018;64000;2017-10-18
6;109.800 kr.;2017;57000;2017-02-10
7;89.900 kr.;2017;90000;2016-12-12
8;69.900 kr.;2014;154000;2014-04-04
9;71.180 kr.;2015;137000;2014-07-31
10;109.900 kr.;2018;90000;2018-07-30
11;114.900 kr.;2019;63000;2019-04-25
12;84.000 kr.;2015;72000;2014-08-26
13;62.500 kr.;2013;102000;2012-12-05
14;64.900 kr.;2013;132000;2012-12-21
15;79.900 kr.;2013;143000;2013-02-15
16;69.900 kr.;2013;84000;2013-06-03
17;147.800 kr.;2020;9000;2020-05-12
18;69.900 kr.;2013;93000;2013-01-02
19;72.900 kr.;2017;158000;2017-05-02
20;53.000 kr.;2013;174000;2012-08-24
21;114.900 kr.;2017;89000;2016-11-25
22;72.900 kr.;2015;106000;2015-01-29
23;129.900 kr.;2020;33000;2020-03-18
24;59.800 kr.;2016;131000;2015-10-21
25;84.800 kr.;2014;60000;2014-05-02
26;99.500 kr.;2017;27000;2017-02-14
27;104.900 kr.;2018;44000;2017-12-28
28;94.900 kr.;2017;85000;2017-08-17
29;104.800 kr.;2017;38000;2016-10-13
30;99.900 kr.;2017;36000;2017-12-11
31;99.900 kr.;2018;40000;2017-12-11
32;99.900 kr.;2018;62000;2018-08-30
33;72.900 kr.;2014;161000;2014-01-07
34;74.900 kr.;2014;112000;2014-05-06
35;109.800 kr.;2019;37000;2018-11-09
36;64.000 kr.;2014;107000;2014-06-26
37;59.900 kr.;2013;149000;2012-10-30
38;99.900 kr.;2017;44000;2017-01-23
39;119.800 kr.;2018;13000;2017-11-07
40;89.900 kr.;2017;87000;2017-05-29
41;99.900 kr.;2017;38000;2017-01-19
42;79.900 kr.;2014;152000;2014-01-01
43;114.900 kr.;2018;17000;2017-11-10
44;104.900 kr.;2018;68000;2017-06-22
45;84.900 kr.;2016;70000;2016-11-01
46;99.900 kr.;2017;83000;2017-05-29
47;94.900 kr.;2018;59000;2017-12-11
48;114.000 kr.;2017;62000;2016-10-25
49;102.990 kr.;2019;46000;2018-12-20
50;69.900 kr.;2016;152000;2015-10-20
51;109.900 kr.;2019;60000;2019-01-25
52;82.300 kr.;2017;27000;2017-07-01
53;99.900 kr.;2018;67400;2017-07-19
54;84.900 kr.;2016;80000;2015-11-10
55;129.900 kr.;2020;30000;2020-07-30
56;104.900 kr.;2018;66500;2018-01-08
57;94.900 kr.;2017;90000;2017-03-20
58;167.995 kr.;2019;74000;2019-09-30
59;79.800 kr.;2015;65000;2014-10-13
60;99.700 kr.;2017;63000;2017-05-16
61;124.900 kr.;2017;70000;2016-11-03
62;137.900 kr.;2020;35000;2020-09-30
63;69.900 kr.;2014;130000;2014-05-23
64;124.800 kr.;2017;60000;2017-06-21
65;99.800 kr.;2019;75000;2019-02-18
66;69.900 kr.;2013;112000;2013-03-19
67;67.900 kr.;2014;147000;2014-09-16
68;134.850 kr.;2022;14000;2021-07-21
69;74.900 kr.;2013;146000;2013-05-23
70;114.900 kr.;2017;74000;2017-01-25
71;94.900 kr.;2018;89000;2018-11-19
72;124.800 kr.;2021;54000;2020-11-11
73;124.800 kr.;2020;43000;2019-12-20
74;144.800 kr.;2018;15000;2018-04-13
75;74.900 kr.;2017;48000;2017-09-28
76;74.900 kr.;2013;78020;2012-10-29
77;84.000 kr.;2017;70000;2016-09-08
78;94.900 kr.;2018;112000;2018-08-01
79;89.900 kr.;2018;68500;2018-01-26
80;76.900 kr.;2016;104000;2016-03-31
81;99.800 kr.;2017;63600;2016-09-19
82;99.900 kr.;2019;98000;2019-06-20
83;99.900 kr.;2018;94100;2018-12-04
84;74.700 kr.;2014;99000;2014-06-23
85;119.900 kr.;2019;47000;2019-08-13
86;102.999 kr.;2018;49000;2018-03-01
87;62.000 kr.;2012;46000;2012-03-01
88;99.700 kr.;2018;98000;2018-01-03
89;159.000 kr.;2019;66000;2019-12-01
90;86.500 kr.;2014;87000;2013-10-01
91;69.000 kr.;2014;34000;2014-06-01
92;129.900 kr.;2020;41000;2020-04-23
93;84.900 kr.;2017;133000;2016-09-16
94;72.999 kr.;2017;129000;2017-06-01
95;64.900 kr.;2014;112000;2014-03-01
96;89.900 kr.;2016;45000;2015-07-01
97;75.000 kr.;2014;70000;2013-09-01
98;99.000 kr.;2018;69000;2018-01-01
99;104.700 kr.;2017;23000;2016-11-18
100;62.900 kr.;2013;116000;2012-09-14
101;104.900 kr.;2018;42000;2018-07-31
102;69.900 kr.;2014;143000;2014-03-28
103;89.800 kr.;2017;82000;2016-10-01
104;107.900 kr.;2018;60000;2018-06-06
105;59.900 kr.;2013;99000;2012-10-24
106;179.900 kr.;2019;55000;2018-07-01
107;59.900 kr.;2014;120000;2014-05-13
108;59.700 kr.;2013;136000;2012-08-27
109;62.900 kr.;2014;135000;2014-04-01
110;74.900 kr.;2017;137;2016-08-23
111;114.900 kr.;2017;76000;2017-07-01
112;129.800 kr.;2017;103000;2017-04-20
113;67.990 kr.;2013;64000;2013-01-18
114;69.900 kr.;2016;94000;2015-10-19
115;49.900 kr.;2013;200000;2012-10-26
116;79.995 kr.;2017;99000;2017-04-01
117;59.900 kr.;2014;124000;2013-08-01
118;63.000 kr.;2015;79000;2014-10-01
119;64.500 kr.;2012;142000;2012-05-31
120;124.900 kr.;2020;23800;2020-09-29
121;69.900 kr.;2016;86000;2015-09-24
122;64.900 kr.;2016;109000;2015-12-28
123;129.500 kr.;2020;21000;2020-07-06
124;51.900 kr.;2014;153000;2013-12-01
125;64.800 kr.;2014;78000;2013-10-21
126;104.900 kr.;2018;75000;2018-07-16
127;79.900 kr.;2014;61000;2014-01-15
128;89.900 kr.;2016;78000;2015-12-23
129;89.900 kr.;2018;102000;2018-01-01
130;169.900 kr.;2019;49000;2019-12-18
131;57.500 kr.;2014;121500;2014-01-29
132;104.900 kr.;2018;59000;2018-06-22
133;68.000 kr.;2013;46000;2012-12-13
134;69.900 kr.;2014;100000;2014-01-27
135;122.800 kr.;2019;35000;2019-06-20
136;59.900 kr.;2014;143000;2014-10-08
137;56.900 kr.;2013;158000;2012-07-10
138;97.900 kr.;2016;111000;2016-01-27
139;64.900 kr.;2012;108000;2012-05-29
140;47.800 kr.;2013;182000;2013-03-15
141;84.900 kr.;2018;121000;2017-11-24
142;119.800 kr.;2020;52000;2019-10-18
143;104.800 kr.;2018;58000;2018-08-31
144;99.900 kr.;2017;92000;2017-09-01
145;119.900 kr.;2019;50000;2019-07-08
146;54.900 kr.;2015;150000;2015-10-09
147;59.800 kr.;2015;132000;2015-05-01
148;117.500 kr.;2019;65000;2019-04-25
149;62.800 kr.;2013;91000;2012-12-17
150;134.900 kr.;2020;14000;2019-09-25
151;104.000 kr.;2020;22000;2019-10-01
152;109.700 kr.;2017;117000;2017-03-16
153;109.900 kr.;2017;28000;2017-12-11
154;119.900 kr.;2019;58000;2019-07-30
155;69.800 kr.;2015;153000;2015-04-28
156;79.995 kr.;2016;53000;2016-01-14
157;82.500 kr.;2018;131000;2018-04-18
158;69.000 kr.;2016;86000;2015-09-01
159;59.000 kr.;2015;123000;2015-03-01
160;74.800 kr.;2016;47000;2016-04-13
161;70.900 kr.;2016;111000;2016-05-01
162;124.900 kr.;2020;49000;2020-03-24
163;109.900 kr.;2019;61000;2018-10-04
164;69.900 kr.;2016;126000;2015-09-29
165;109.900 kr.;2018;67500;2017-11-30
166;72.900 kr.;2015;103000;2015-03-04
167;119.500 kr.;2020;37000;2019-11-05
168;89.900 kr.;2017;59000;2016-09-20
169;84.900 kr.;2017;93000;2016-09-29
170;109.900 kr.;2017;28000;2017-11-10
171;72.000 kr.;2015;79000;2014-08-01
172;62.000 kr.;2014;132000;2014-03-01
173;99.900 kr.;2017;83000;2017-01-11
174;109.800 kr.;2017;50000;2017-04-24
175;49.000 kr.;2013;191000;2012-12-01
176;74.900 kr.;2015;119000;2015-07-16
177;57.900 kr.;2015;165000;2014-10-24
178;94.700 kr.;2015;47000;2015-06-23
179;64.800 kr.;2013;126000;2013-06-07
180;49.800 kr.;2013;183000;2012-09-12
181;59.999 kr.;2014;163000;2014-02-27
182;89.900 kr.;2017;49000;2017-10-31
183;109.900 kr.;2017;25000;2017-11-16
184;119.700 kr.;2019;12000;2019-07-19
185;52.700 kr.;2017;168000;2016-11-17
186;47.500 kr.;2013;139000;2012-11-01
187;69.900 kr.;2016;165000;2016-06-01
188;79.900 kr.;2016;115000;2016-04-27
189;83.000 kr.;2016;64000;2015-09-01
190;95.000 kr.;2019;37000;2019-01-01
191;72.990 kr.;2017;129000;2016-08-26
192;69.900 kr.;2015;62000;2015-06-09
193;118.900 kr.;2017;63000;2017-02-15
194;54.900 kr.;2015;127000;2015-03-30
195;89.900 kr.;2018;110000;2017-12-19
196;69.800 kr.;2016;66000;2016-03-30
197;128.800 kr.;2020;36000;2020-02-28
198;66.900 kr.;2015;159000;2014-10-15
199;62.900 kr.;2015;101000;2015-08-07
200;74.900 kr.;2019;107000;2019-01-02
201;89.900 kr.;2012;75000;2012-12-03
202;119.900 kr.;2019;21000;2019-11-18
203;66.900 kr.;2012;85000;2012-10-04
204;54.000 kr.;2013;118000;2012-09-27
205;69.500 kr.;2013;91000;2013-05-27
206;109.900 kr.;2020;61000;2019-10-28
207;49.700 kr.;2014;195000;2014-02-26
208;74.900 kr.;2016;98000;2015-07-23
209;63.000 kr.;2012;142000;2012-05-01
210;94.900 kr.;2018;88000;2018-01-04
211;53.900 kr.;2013;129500;2012-11-13
212;129.900 kr.;2020;29000;2020-03-18
213;114.900 kr.;2017;70000;2016-12-12
214;59.900 kr.;2012;155000;2012-06-11
215;69.800 kr.;2014;43000;2013-07-18
216;135.000 kr.;2020;15000;2019-10-25
217;54.900 kr.;2013;168000;2012-12-17
218;49.990 kr.;2013;150000;2012-08-08
219;79.900 kr.;2016;106000;2015-11-18
220;99.900 kr.;2018;69000;2017-09-15
221;64.800 kr.;2016;174038;2016-01-15
222;74.900 kr.;2016;79000;2016-01-12
223;48.995 kr.;2014;204000;2014-01-21
224;79.900 kr.;2017;99000;2016-08-17
225;104.900 kr.;2015;19000;2014-10-01
226;82.800 kr.;2016;116000;2016-07-25
227;68.000 kr.;2016;69000;2015-07-01
228;74.800 kr.;2016;69000;2015-10-02
229;68.900 kr.;2016;177000;2016-04-05
230;54.400 kr.;2013;160000;2012-08-31
231;69.900 kr.;2015;121000;2015-07-24
232;109.990 kr.;2018;31000;2018-07-24
233;84.995 kr.;2018;105000;2018-07-01
234;54.900 kr.;2013;138;2013-05-16
235;76.800 kr.;2017;139000;2016-09-20
236;107.900 kr.;2019;79000;2018-09-07
237;94.900 kr.;2018;82000;2017-11-15
238;104.900 kr.;2017;57000;2016-11-15
239;64.800 kr.;2013;89000;2013-04-01
240;58.980 kr.;2013;148000;2012-10-10
241;69.999 kr.;2015;106450;2015-02-16
242;85.000 kr.;2017;85000;2016-12-01
243;129.900 kr.;2020;35000;2020-04-30
244;69.800 kr.;2014;81300;2014-07-14
245;73.760 kr.;2014;95000;2013-12-09
246;89.900 kr.;2016;48000;2016-03-10
247;84.900 kr.;2015;17000;2015-06-16
248;47.900 kr.;2012;144000;2012-04-03
249;67.800 kr.;2016;142000;2016-06-10
250;71.900 kr.;2016;71000;2015-07-24
251;69.900 kr.;2015;113000;2014-07-30
252;49.900 kr.;2012;165000;2012-08-31
253;69.800 kr.;2013;130000;2012-08-30
254;99.900 kr.;2016;93000;2015-11-20
255;94.900 kr.;2017;58000;2016-08-19
256;49.900 kr.;2014;144000;2014-01-14
257;64.500 kr.;2014;169000;2013-09-09
258;66.900 kr.;2013;144000;2013-05-21
259;62.800 kr.;2014;138000;2014-01-13
