price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type
139.900 kr.;2018;89000;2018-10-02;Hybrid (Benzin + El);27;100;A
112.900 kr.;2015;106000;2015-09-01;Hybrid (Benzin + El);30.3;100;A
124.800 kr.;2017;75000;2017-01-27;Diesel;28.6;90;M
199.900 kr.;2021;8000;2021-11-15;Benzin;23.3;125;M
149.900 kr.;2021;8000;2021-10-25;Benzin;22;72;M
11.990 kr.;2002;173000;2002-05-02;Benzin;17.9;68;M
95.900 kr.;2016;110000;2016-12-07;Benzin;23.3;69;M
184.900 kr.;2020;11700;2020-02-10;Hybrid (Benzin + El);27;100;A
12.900 kr.;2001;239000;2001-07-11;Benzin;17.9;68;M
19.900 kr.;2001;126000;2001-02-22;Benzin;17.9;68;M
174.900 kr.;2019;29000;2019-11-08;Hybrid (Benzin + El);27;100;A
64.880 kr.;2011;117000;2011-11-03;Benzin;18.5;99;M
144.900 kr.;2018;42000;2018-01-05;Hybrid (Benzin + El);30.3;100;A
129.900 kr.;2016;81000;2016-01-19;Hybrid (Benzin + El);30.3;100;A
159.900 kr.;2019;4000;2019-01-14;Benzin;21.6;111;M
249.800 kr.;2022;5200;2022-04-27;Hybrid (Benzin + El);29.5;116;A
59.900 kr.;2010;182000;2010-11-11;Benzin;19.2;100;A
184.900 kr.;2019;42315;2019-11-01;Hybrid (Benzin + El);29.7;100;A
129.900 kr.;2018;135000;2018-06-01;Hybrid (Benzin + El);30.3;100;A
54.900 kr.;2010;171000;2010-01-05;Benzin;19.6;100;M
169.900 kr.;2019;18000;2020-03-31;Hybrid (Benzin + El);27;100;A
159.900 kr.;2019;18000;2019-03-27;Benzin;21.6;111;M
229.000 kr.;2021;11000;2022-03-31;Hybrid (Benzin + El);31.8;116;A
189.990 kr.;2019;14000;2020-04-15;Hybrid (Benzin + El);27;100;A
239.900 kr.;2022;7000;2022-03-21;Benzin;22.8;125;M
134.900 kr.;2019;43000;2019-05-24;Benzin;23.4;72;M
129.900 kr.;2016;94000;2016-09-02;Hybrid (Benzin + El);30.3;100;A
194.900 kr.;2021;11583;2021-05-28;Benzin;22.9;125;M
162.500 kr.;2019;78002;2019-04-25;Hybrid (Benzin + El);27;100;A
194.900 kr.;2021;7000;2021-01-27;Benzin;22.9;125;M
246.900 kr.;2022;5500;2022-04-29;Hybrid (Benzin + El);29.5;116;A
247.900 kr.;2022;2000;2022-06-01;Hybrid (Benzin + El);29.5;116;A
274.900 kr.;2021;9000;2021-07-09;Hybrid (Benzin + El);29.5;116;A
139.900 kr.;2016;64500;2016-06-28;Hybrid (Benzin + El);30.3;100;A
167.900 kr.;2019;70000;2018-12-05;Benzin;22.4;111;A
184.900 kr.;2019;25800;2019-09-18;Hybrid (Benzin + El);27;100;A
184.900 kr.;2019;36500;2019-10-21;Hybrid (Benzin + El);27;100;A
157.900 kr.;2019;29000;2019-06-07;Benzin;21.6;111;M
179.900 kr.;2019;26000;2020-08-11;Hybrid (Benzin + El);30.3;100;A
144.900 kr.;2016;47000;2016-07-01;Hybrid (Benzin + El);30.3;100;A
189.900 kr.;2019;14500;2019-09-19;Hybrid (Benzin + El);27;100;A
154.900 kr.;2016;54000;2016-06-06;Hybrid (Benzin + El);27.8;100;A
109.900 kr.;2017;87000;2017-04-25;Benzin;23.3;69;M
177.800 kr.;2019;42500;2019-11-01;Hybrid (Benzin + El);27;100;A
144.900 kr.;2018;91500;2018-01-03;Hybrid (Benzin + El);30.3;100;A
104.900 kr.;2017;135000;2017-11-13;Benzin;23.3;69;M
189.900 kr.;2019;49500;2019-01-31;Hybrid (Benzin + El);23.8;100;A
174.900 kr.;2019;48000;2019-08-12;Hybrid (Benzin + El);27;100;A
124.800 kr.;2015;90000;2017-01-26;Hybrid (Benzin + El);30.3;100;A
244.900 kr.;2022;2300;2022-05-24;Benzin;22.8;125;A
224.900 kr.;2020;60000;2020-10-16;Hybrid (Benzin + El);34.4;116;A
224.900 kr.;2021;8500;2021-03-26;Hybrid (Benzin + El);39.3;116;A
59.900 kr.;2014;154000;2013-11-06;Benzin;23.3;69;M
39.900 kr.;2010;174000;2009-12-22;Benzin;19.2;100;A
117.990 kr.;2016;100000;2016-10-12;Hybrid (Benzin + El);30.3;100;A
139.900 kr.;2018;100000;2018-01-03;Hybrid (Benzin + El);30.3;100;A
144.995 kr.;2019;48000;2019-01-28;Benzin;21.6;111;M
139.900 kr.;2018;114900;2018-01-03;Hybrid (Benzin + El);30.3;100;A
134.900 kr.;2020;47000;2020-07-08;Benzin;23.4;72;M
129.900 kr.;2016;95000;2016-09-30;Hybrid (Benzin + El);30.3;100;A
149.900 kr.;2018;90000;2018-05-22;Hybrid (Benzin + El);30.3;100;A
234.900 kr.;2020;12113;2020-08-31;Hybrid (Benzin + El);39.3;116;A
44.900 kr.;2008;162000;2008-11-27;Benzin;16.7;87;M
114.900 kr.;2017;41000;2017-10-31;Benzin;23.3;69;M
234.900 kr.;2020;20741;2020-10-02;Hybrid (Benzin + El);39.3;116;A
129.800 kr.;2017;48000;2017-05-29;Benzin;20.8;111;M
184.800 kr.;2020;18000;2019-09-30;Benzin;22.4;111;A
174.900 kr.;2018;16000;2019-01-01;Benzin;20.4;111;A
259.900 kr.;2021;2100;2021-08-06;Hybrid (Benzin + El);29.5;116;A
184.900 kr.;2020;23497;2020-01-15;Benzin;22.4;111;A
99.900 kr.;2015;76000;2015-08-27;Benzin;19.6;99;M
184.900 kr.;2019;33000;2019-10-28;Hybrid (Benzin + El);27;100;A
234.500 kr.;2021;38000;2021-03-30;Hybrid (Benzin + El);34.4;116;A
174.990 kr.;2019;25000;2020-03-25;Benzin;19.6;111;M
154.900 kr.;2018;50000;2018-01-15;Hybrid (Benzin + El);30.3;100;A
119.900 kr.;2017;62000;2017-06-16;Benzin;23.3;69;M
184.900 kr.;2019;36000;2019-03-22;Hybrid (Benzin + El);27;100;A
159.900 kr.;2019;33000;2019-03-28;Benzin;19.6;111;M
149.900 kr.;2017;28000;2017-05-09;Hybrid (Benzin + El);30.3;100;A
144.900 kr.;2018;84000;2018-01-03;Hybrid (Benzin + El);30.3;100;A
149.900 kr.;2019;54186;2019-05-31;Benzin;21.6;111;M
119.900 kr.;2018;154000;2018-01-03;Hybrid (Benzin + El);30.3;100;A
129.700 kr.;2017;69000;2017-04-06;Hybrid (Benzin + El);30.3;100;A
174.900 kr.;2020;29000;2019-12-17;Benzin;22.4;111;A
179.800 kr.;2021;17000;2021-04-20;Benzin;22.9;125;M
89.900 kr.;2014;152500;2015-02-12;Benzin;20.4;99;M
129.900 kr.;2018;151978;2018-01-23;Hybrid (Benzin + El);27.8;100;A
189.900 kr.;2019;26930;2019-11-07;Hybrid (Benzin + El);27;100;A
249.900 kr.;2022;5000;2022-10-06;Hybrid (Benzin + El);29.5;116;A
134.900 kr.;2014;28000;2014-10-03;Hybrid (Benzin + El);30.3;100;A
84.900 kr.;2017;117000;2016-07-18;Benzin;23.3;69;M
69.900 kr.;2012;135000;2013-07-10;Benzin;20.8;69;M
199.900 kr.;2021;10000;2021-03-24;Benzin;22.9;125;M
119.900 kr.;2016;82000;2016-04-07;Hybrid (Benzin + El);30.3;100;A
144.900 kr.;2015;43000;2016-05-31;Hybrid (Benzin + El);30.3;100;A
109.900 kr.;2015;62000;2015-07-06;Benzin;20.4;99;M
99.800 kr.;2015;106000;2015-06-19;Benzin;23.3;69;M
209.900 kr.;2021;4000;2021-08-24;Benzin;23.3;125;M
184.900 kr.;2019;40000;2019-10-11;Hybrid (Benzin + El);27;100;A
34.800 kr.;2009;175000;2009-05-05;Diesel;23.8;90;M
239.900 kr.;2021;12000;2021-06-15;Hybrid (Benzin + El);31.8;116;A
97.500 kr.;2014;142000;2015-07-02;Hybrid (Benzin + El);28.6;99;A
159.900 kr.;2019;39000;2019-09-10;Benzin;21.6;111;M
244.900 kr.;2021;2000;2021-08-19;Hybrid (Benzin + El);29.5;116;A
34.900 kr.;2010;229000;2010-09-03;Diesel;23.8;90;M
74.900 kr.;2013;115000;2013-05-14;Benzin;20.8;69;M
184.900 kr.;2020;41000;2020-01-30;Hybrid (Benzin + El);27;100;A
289.800 kr.;2022;1000;2022-11-11;Hybrid (Benzin + El);28.2;116;A
99.900 kr.;2014;105000;2015-01-05;Benzin;20.4;99;M
139.500 kr.;2016;35000;2016-06-02;Hybrid (Benzin + El);30.3;100;A
89.900 kr.;2016;103000;2016-07-08;Benzin;23.3;69;M
147.900 kr.;2018;66000;2018-02-27;Hybrid (Benzin + El);30.3;100;A
124.800 kr.;2018;85000;2018-05-30;Benzin;23.3;69;M
139.800 kr.;2015;43000;2015-10-01;Hybrid (Benzin + El);30.3;100;A
199.900 kr.;2021;4500;2021-12-07;Benzin;23.3;125;M
149.900 kr.;2019;16000;2019-04-09;Benzin;23.4;72;M
44.500 kr.;2010;166000;2010-10-13;Diesel;23.8;90;M
164.900 kr.;2019;37372;2019-04-16;Benzin;21.6;111;M
115.900 kr.;2015;117000;2016-06-24;Hybrid (Benzin + El);30.3;100;A
99.900 kr.;2018;170000;2018-01-29;Hybrid (Benzin + El);30.3;100;A
154.900 kr.;2017;60000;2017-09-05;Hybrid (Benzin + El);30.3;100;A
134.900 kr.;2016;72000;2016-06-24;Hybrid (Benzin + El);30.3;100;A
139.700 kr.;2017;66000;2016-09-16;Hybrid (Benzin + El);27.8;100;A
